time,vehicle_id,longitude,latitude,angle,vehicle_type,speed_mps,position_on_lane,lane,slope
53.0,car_003,77.628438,12.916887,103.14,car,16.19,584.65,1073384217#1_0,0.00
53.0,car_004,77.627351,12.917206,106.23,car,16.40,461.22,1073384217#1_0,0.00
53.0,car_005,77.626290,12.917510,105.03,car,15.57,341.03,1073384217#1_0,0.00
53.0,car_006,77.624612,12.917699,85.09,car,12.77,156.94,1073384217#1_1,0.00
53.0,car_007,77.623549,12.917572,75.88,car,12.04,40.74,1073384217#1_2,0.00
54.0,bike_001,77.628736,12.916867,94.28,motorcycle,14.88,617.40,1073384217#1_1,0.00
54.0,bike_002,77.625555,12.917667,96.07,motorcycle,10.88,259.03,1073384217#1_0,0.00
54.0,bike_003,77.624344,12.917676,80.16,motorcycle,15.36,127.66,1073384217#1_1,0.00
54.0,car_001,77.631058,12.916681,92.21,car,16.27,41.37,1534247766#1_0,0.00
54.0,car_002,77.629187,12.916801,94.23,car,14.46,666.77,1073384217#1_0,0.00
54.0,car_003,77.628587,12.916851,103.14,car,16.66,601.32,1073384217#1_0,0.00
54.0,car_004,77.627490,12.917165,106.23,car,15.77,476.99,1073384217#1_0,0.00
54.0,car_005,77.626433,12.917471,105.03,car,16.13,357.16,1073384217#1_0,0.00
54.0,car_006,77.624739,12.917708,85.31,car,13.76,170.71,1073384217#1_1,0.00
54.0,car_007,77.623656,12.917595,79.44,car,11.94,52.68,1073384217#1_2,0.00
