timestamp,vehicle_id,vehicle_type,x,y,speed,acceleration,lane,road,heading,distance,waiting_time,network_vehicle_count,network_avg_speed,network_avg_waiting_time,edge_vehicle_count,edge_queue_length
32.0,2,car,4415.95,13453.47,4.26,-2.66,:cluster_3726063804_736014390_3_0,:cluster_3726063804_736014390_3,337.83,182.26,0.0,11,7.47,0.0,1,0
32.0,3,car,3346.7,7120.97,5.57,0.57,:2450399406_4_0,:2450399406_4,36.92,186.84,0.0,11,7.47,0.0,1,0
32.0,4,motorcycle,1859.5,8660.69,7.59,-4.16,559448742_0,559448742,59.93,157.35,0.0,11,7.47,0.0,1,0
32.0,5,car,4226.91,6887.55,15.81,1.98,640876756#5_0,640876756#5,270.16,152.52,0.0,11,7.47,0.0,1,0
32.0,6,bus,5641.96,8053.33,6.26,1.08,-90843343#1_0,-90843343#1,304.32,74.53,0.0,11,7.47,0.0,1,0
32.0,7,car,2152.06,6396.47,6.16,0.71,:2685122667_0_0,:2685122667_0,209.41,116.11,0.0,11,7.47,0.0,1,0
32.0,8,car,3613.35,8234.39,5.38,1.97,-31281091#8_0,-31281091#8,22.78,55.89,0.0,11,7.47,0.0,1,0
32.0,9,car,3862.42,12194.68,1.34,0.08,31231520#3_0,31231520#3,340.54,6.32,0.0,11,7.47,0.0,1,0
33.0,0,car,1768.95,8604.5,13.05,1.15,:1607769873_7_0,:1607769873_7,57.71,427.05,0.0,11,7.8,0.0,1,0
33.0,1,car,3890.3,7224.92,15.91,1.46,-794634830#2_0,-794634830#2,90.97,336.27,0.0,11,7.8,0.0,1,0
33.0,10,car,7778.86,8924.78,4.27,0.86,-36962042#4_0,-36962042#4,266.5,7.68,0.0,11,7.8,0.0,1,0
33.0,2,car,4410.85,13455.09,5.59,1.34,-1201026023#1_0,-1201026023#1,282.17,187.86,0.0,11,7.8,0.0,1,0
33.0,3,car,3350.88,7122.36,4.41,-1.16,60194989#9_0,60194989#9,71.59,191.25,0.0,11,7.8,0.0,1,0
33.0,4,motorcycle,1862.85,8662.63,3.87,-3.72,559448742_0,559448742,59.93,161.22,0.0,11,7.8,0.0,1,0
33.0,5,car,4210.65,6887.6,16.26,0.45,640876756#5_0,640876756#5,270.16,168.78,0.0,11,7.8,0.0,1,0
